*HDR 0000063 Manual_Approval_Types_20120709.csv 20120709
"20102264593","RB1 ISC"
"20102264621","RB1 ISC"
"20102264685","RB1 ISC"
"20102264716","RB1 ISC"
"20102264731","RB1 ISC"
"20102264780","RB1 ISC"
"20102264788","RB1 ISC"
"20102264820","RB1 ISC"
"20102264855","RB1 ISC"
"20102264869","RB1 ISC"
"20102264873","RB1 ISC"
"20102264939","RB1 ISC"
"20102264942","RB1 ISC"
"20102264973","RB1 ISC"
"20102264991","RB1 ISC"
"20102265023","RB1 ISC"
"20102265025","RB1 ISC"
"20102265038","RB1 ISC"
"20102265046","RB1 ISC"
"20102265051","RB1 ISC"
"20102265064","RB1 ISC"
"20102265081","RB1 ISC"
"20102265084","RB1 ISC"
"20102265086","RB1 ISC"
"20102265088","RB1 ISC"
"20102265121","RB1 ISC"
"20102265122","RB1 ISC"
"20102265131","RB1 ISC"
"20102265141","RB1 ISC"
"20102265169","RB1 ISC"
"20102265178","RB1 ISC"
"20102265196","RB1 ISC"
"20102265203","RB1 ISC"
"20102265209","RB1 ISC"
"20102265225","RB1 ISC"
"20102265258","RB1 ISC"
"20102265261","RB1 ISC"
"20102265291","RB1 ISC"
"20102265306","RB1 ISC"
"20102265311","RB1 ISC"
"20102265337","RB1 ISC"
"20102265347","RB1 ISC"
"20102265354","RB1 ISC"
"20102265363","RB1 ISC"
"20102265397","RB1 ISC"
"20102265402","RB1 ISC"
"20102265424","RB1 ISC"
"20102265427","RB1 ISC"
"20102265433","RB1 ISC"
"20102265446","RB1 ISC"
"20102265460","RB1 ISC"
"20102265475","RB1 ISC"
"20102265477","RB1 ISC"
"20102265481","RB1 ISC"
"20102265489","RB1 ISC"
"20102265521","RB1 ISC"
"20102265531","RB1 ISC"
"20102265537","RB1 ISC"
"20102265581","RB1 ISC"
"20102265893","INFO"
"20102265894","INFO"
"20102265906","INFO"
"20102265912","INFO"
"20102265918","INFO"
"20102265923","INFO"
"20102265924","INFO"
"20102265930","INFO"
"20102265939","INFO"
"20102265946","INFO"
"20102265956","INFO"
"20102265957","INFO"
"20102265958","INFO"
"20102265959","INFO"
"20102265963","INFO"
"20102265973","INFO"
"20102265981","INFO"
"20102265989","INFO"
"20102265990","INFO"
"20102265995","INFO"
"20102266009","INFO"
"20102266010","INFO"
"20102266022","INFO"
"20102266023","INFO"
"20102266032","INFO"
"20102266036","INFO"
"20102266039","INFO"
"20102266041","INFO"
"20102266059","INFO"
"20102266079","INFO"
"20102266109","INFO"
"20102266116","INFO"
"20102266151","INFO"
"20102266187","INFO"
"20102266189","INFO"
"20102266195","INFO"
"20102266199","INFO"
"20102266203","INFO"
"20102266228","INFO"
"20102266275","INFO"
"20102266277","INFO"
"20102266285","INFO"
"20102266286","INFO"
"20102266287","INFO"
"20102266289","INFO"
"20102266290","INFO"
"20102266292","INFO"
"20102266293","INFO"
"20102266303","INFO"
"20102266304","INFO"
"20102266305","INFO"
"20102266306","INFO"
"20102266319","INFO"
"20102266334","INFO"
"20102266352","INFO"
"20102266358","INFO"
"20102266360","INFO"
"20102266361","INFO"
"20102266363","INFO"
"20102266385","INFO"
"20102266386","INFO"
"20102266391","INFO"
"20102266392","INFO"
