*HDR 0000063 depotrepair_CA_20120710.csv 20120710
"2767"|"R898LFC"|"L00"|20100727|"DLNRNNZ "|"   "|"N6B3L1 "|"649"|"81"|"N"||"20102260912   "||""||||||"ONTARIO"||20100708
"2767"|"R8DMZRT"|"L00"|20100727|"DLNQY8V "|"   "|"N6A4S4 "|"649"|"81"|"N"||"20102260913   "||""||||||"ONTARIO"||20100714
"2767"|"R8ZMRK4"|"L00"|20100727|"DLNSFJD "|"   "|"M5K1A2 "|"649"|"81"|"N"||"20102260914   "||""||||||"ONTARIO"||20100706
"2767"|"R843VMV"|"L00"|20100727|"DLNRKVM "|"   "|"M5K1A2 "|"649"|"81"|"N"||"20102260915   "||""||||||"ONTARIO"||20100719
"2767"|"R8NABM3"|"L00"|20100727|"DLNSLZV "|"   "|"S7K1K5 "|"649"|"81"|"N"||"20102260916   "||""||||||"SASKATCHEWAN"||20100628
"2767"|"R8319LT"|"L00"|20100727|"DLNRMRM "|"   "|"M5C1T4 "|"649"|"81"|"N"||"20102260917   "||""||||||"ONTARIO"||20100708
"2767"|"R8BFTR7"|"L00"|20100727|"DLNSDSG "|"   "|"L4W5N9 "|"649"|"81"|"N"||"20102260918   "||""||||||"ONTARIO"||20100630
"7663"|"L3R8408"|"L00"|20100727|"DLNSMJG "|"   "|"L4W5P3 "|"649"|"81"|"N"||"20102260919   "||""||||||"ONTARIO"||20100628
"7663"|"L3M5894"|"L00"|20100727|"DLNSDRS "|"   "|"N6A5Y2 "|"649"|"81"|"N"||"20102260920   "||""||||||"ONTARIO"||20100705
"2767"|"R8DMZTL"|"L00"|20100727|"41JPN4K "|"   "|"M5V2B1 "|"649"|"81"|"N"||"20102260921   "||""||||||"ONTARIO"||20100712
"2767"|"R83202K"|"L00"|20100727|"DLNTC8B "|"   "|"N6A4S4 "|"649"|"81"|"N"||"20102260922   "||""||||||"ONTARIO"||20100625
"2767"|"R8799M1"|"L00"|20100727|"DLNTLHB "|"   "|"M5K1A2 "|"649"|"81"|"N"||"20102260923   "||""||||||"ONTARIO"||20100621
"2767"|"R8DMZXF"|"L00"|20100727|"DLNSPTG "|"   "|"M1H2X3 "|"649"|"81"|"N"||"20102260924   "||""||||||"ONTARIO"||20100625
"7663"|"L3T0220"|"L00"|20100727|"40KV3YD "|"   "|"M5K1A2 "|"649"|"81"|"N"||"20102260925   "||""||||||"ONTARIO"||20100706
"0196"|"LRCLTK5"|"L00"|20100727|"41JPQRY  "|"   "|"V6G 2A1"|"649"|"81"|"N"||"20102275700   "||""||||||"BRITISH COLUMBIA"||20100623
"0197"|"LRCFZ92"|"L00"|20100727|"41JPH25  "|"   "|"M3B 2T8"|"649"|"81"|"N"||"20102275701   "||""||||||"ONTARIO"||20100719
"0197"|"LRCFZ92"|"L00"|20100727|"40KV256  "|"   "|"M3B 2T8"|"649"|"81"|"N"||"20102275702   "||""||||||"ONTARIO"||20100709
"0197"|"LRFWNA0"|"L00"|20100727|"DNDFTVF  "|"   "|"S7N 4H4"|"649"|"DD"|"N"||"20102275703   "||""||||||"SASKATCHEWAN"||20100518
"0197"|"LRGRGT2"|"L00"|20100727|"40KVPSM  "|"   "|"G9N 3A6"|"649"|"DD"|"N"||"20102275704   "||""||||||"QUEBEC"||20100507
"0197"|"LRHET32"|"L00"|20100727|"40KTYTP  "|"   "|"L3R 2Z5"|"649"|"81"|"N"||"20102275705   "||""||||||"ONTARIO"||20100713
"0197"|"LRHET32"|"L00"|20100727|"41JPL32  "|"   "|"L3R 2Z5"|"649"|"DD"|"N"||"20102275706   "||""||||||"ONTARIO"||20100709
"0197"|"LRKXN62"|"L00"|20100727|"41JQ3L9  "|"   "|"G3H 3J8"|"649"|"DD"|"N"||"20102275707   "||""||||||"QUEBEC"||20100526
"0197"|"LRWKH97"|"L00"|20100727|"40KV8GW  "|"   "|"L4K 2E2"|"649"|"81"|"N"||"20102275708   "||""||||||"ONTARIO"||20100618
"0578"|"LRTMYA8"|"L00"|20100727|"41JPRR5  "|"   "|"J6S 1C7"|"649"|"81"|"N"||"20102275709   "||""||||||"QUEBEC"||20100621
"0769"|"L3D4314"|"L00"|20100727|"41JPSQ8  "|"   "|"L4X 1N5"|"649"|"DD"|"N"||"20102275711   "||""||||||"ONTARIO"||20100617
"1706"|"LVBL456"|"L00"|20100727|"40KV8Z6  "|"   "|"V8M 2A4"|"649"|"81"|"N"||"20102275712   "||""||||||"BRITISH COLUMBIA"||20100617
"1951"|"L3BH230"|"L00"|20100727|"DNCTTJ9  "|"   "|"L3R 8H1"|"649"|"DD"|"N"||"20102275714   "||""||||||"ONTARIO"||20100628
